DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;;;;;;;;;;
27/11/1983;59;89;population;Kothiary;3429;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;0;94;population;Koumpentoum;6852;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;24;88;population;Koussanar Escale;2208;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;117;102;population;Koussane;2000;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;12;76;population;Maka;2415;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;121;30;population;Mako;1595;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;12;91;population;Maleme Niani;1675;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;136;49;population;Mamakhono;1438;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;42;45;population;Medina Gounass;15377;à partir de grille gravitaire;à partir de centenalEvents.9d;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;4;84;population;Mereto;3365;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;56;67;population;Missira;4864;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;62;96;population;Ndiobene;215;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;102;124;population;Ndya;249;;P.Handschumacher;;;;;;;;;;;;
27/11/1983;101;41;population;Niokolo Koba;20;;;;;;;;;;;;;;
27/11/1983;1;120;population;Payar;988;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;136;47;population;Sabodala;1285;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;95;16;population;Salemata;1100;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;150;45;population;Sambranboubou;284;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;155;30;population;Saraya;1337;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;155;30;population;Saraya;1337;;http://www.pepam.gouv.sn/acces.php?idloc=05243027;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;124;2;population;Segou;755;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;127;116;population;Senoudebou;1792;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;34;51;population;Sinthian Koundara;1054;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;33;85;population;Sintiou Doube;1051;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;102;84;population;Soutouta;1470;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;85;100;population;Talibadji Ouolof;140;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;47;83;population;Tambacounda;25735;;à partir de centenalEvents.9d;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;23;46;population;Velingara;2176;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;117;115;population;Youpe Amadi;645;;P.Handschumacher;02/06/2015;JLF;;633.54;;;;;;;;
28/11/1983;64;60;rat;45;Badi Nieriko;;;0.065;0.15;Badi Nieriko;45;665;Badi Nieriko;0%;0;;;;
28/11/1983;75;96;rat;60;Bala;;;;0.2;Bala;60;743;Bala;10%;100;;;;
28/11/1983;128;26;rat;14;Bantako;;;;0.045454545;Bantako;14;687;Bantako;5%;45;;;;
28/11/1983;103;78;rat;47;Dianke Makha;;;;0.15625;Dianke Makha;47;701;Dianke Makha;6%;63;;;;
28/11/1983;123;94;rat;64;Dide Gassama;;;;0.214285714;Dide Gassama;64;830;Dide Gassama;0%;0;;;;
28/11/1983;107;101;rat;0;Doulouyabe;;;;0;Doulouyabe;0;893;Doulouyabe;25%;250;;;;
28/11/1983;44;65;rat;55;Gouloumbou;;;;0.181818182;Gouloumbou;55;634;Gouloumbou;0%;0;;;;
28/11/1983;128;121;rat;0;Kidira;;;;0;Kidira;0;698;Kidira;0%;0;;;;
28/11/1983;62;96;rat;43;Ndiobene;;;;0.142857143;Ndiobene;43;851;Ndiobene;14%;143;;;;
28/11/1983;136;47;rat;11;Sabodala;;;;0.035714286;Sabodala;11;773;Sabodala;7%;71;;;;
28/11/1983;33;85;rat;67;Sintiou Doube;;;;0.222222222;Sintiou Doube;67;787;Sintiou Doube;0%;0;;;;
28/11/1983;102;84;rat;30;Soutouta;;;;0.1;Soutouta;30;706;Soutouta;3%;33;;;;
28/11/1983;85;100;rat;19;Talibadji wolof;;;;0.0625;Talibadji wolof;19;815;Talibadji wolof;13%;125;;;;
28/11/1983;23;46;rat;27;Velingara;;;;0.090909091;Velingara;27;707;Velingara;0%;0;;;;
28/11/1983;117;115;rat;0;Youpe Amadi;;;;0;Youpe Amadi;0;747;Youpe Amadi;0%;0;;;;
