X;Y;X_COORD;Y_COORD;ADMI4;ADMI5;TOPONYMIE;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;ID_3;NAME_3;ID_4;NAME_4;VARNAME_4;CCN_4;CCA_4;TYPE_4;ENGTYPE_4;Code_uniqu;urban_popR;urban_popD;urban_popA;urban_popC;urban_popP;urban_po_1;urban_po_2;urban_po_3;urban_po_4;urban_po_5;urban_po_6;urban_po_7;urban_po_8;CU_ville;X_wgs84;Y_wgs84
-16.61308077;14.75147667;326363;1631461;10234;10234039;Ndadene;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;30425;43182;;;;;;;;;
-16.39724064;14.75286396;349602;1631459;2134;2134012;Keur Badie;201;SEN;Senegal;2;Diourbel;5;Bambey;13;Ngoye;58;Thiakhar;;312030;3120304;Commune;Commune;Diourbel/Bambey/Ngoye/Thiakhar;Diourbel;Bambey;Ngoye;CR THIAKHAR;14732;18189;22786.8303;;;;;;;;;
-16.87420088;14.7492541;298245;1631433;10212;10212021;Keur Sara Badiane;201;SEN;Senegal;13;Thies;41;Thies;106;Keur Moussa;383;Fandene;;722030;7220302;Commune;Commune;Thies/Thies/Keur Moussa/Fandene;Thies;Thies;Keur Moussa;CR FANDENE;8872;11;;;;;;;;;;
-16.64030825;14.75091451;323431;1631420;10234;10234068;Ngakhere;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;30425;4318;;;;;;;;;
-16.22339587;14.7408956;368310;1630026;2225;2225018;Ndoumbe;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;69;Toure Mbonde;;322020;3220205;Commune;Commune;Diourbel/Diourbel/Ndoulo/Toure Mbonde;Diourbel;Diourbel;Ndoulo;CR TOURE MBONDE;6315;;;;;;;;;;;
-16.72447922;14.74952469;314367;1631334;10232;10232005;Keur Ibra Kane;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;388;Ngoudiane;;722020;7220202;Commune;Commune;Thies/Thies/Thienaba/Ngoudiane;Thies;Thies;Thieneba;CR NGOUDIANE;10595;15213;2;;;;;;;;;
-16.6305871;14.75007946;324477;1631320;10234;10234038;Nakh Nekh;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;30425;431;;;;;;;;;
-16.82539643;14.76894849;303518;1633569;7233;7233017;Keur Meissa Ndiack;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;389;Thienaba;;722020;7220203;Commune;Commune;Thies/Thies/Thienaba/Thienaba;Thies;Thies;Thieneba;CR THIENEBA;9941;13022;184;;;;;;;;;
-16.62085363;14.75008464;325525;1631313;10234;10234076;Pabene;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;30425;43182;;;;;;;;;
-16.38121373;14.75224619;351327;1631380;2134;2134022;Mbadie Ndiouffene;201;SEN;Senegal;2;Diourbel;5;Bambey;13;Ngoye;58;Thiakhar;;312030;3120304;Commune;Commune;Diourbel/Bambey/Ngoye/Thiakhar;Diourbel;Bambey;Ngoye;CR THIAKHAR;14732;18189;2278;;;;;;;;;
-16.12501385;14.75286658;378908;1631295;2221;2221018;Mbappe (Sabeye);201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;65;Ndoulo;;322020;3220201;Commune;Commune;Diourbel/Diourbel/Ndoulo/Ndoulo;Diourbel;Diourbel;Ndoulo;CR NDOULO;7787;9582;12037;;;;;;;;;
-16.37779989;14.75147111;351694;1631292;2134;2134045;Pai-Pai;201;SEN;Senegal;2;Diourbel;5;Bambey;13;Ngoye;58;Thiakhar;;312030;3120304;Commune;Commune;Diourbel/Bambey/Ngoye/Thiakhar;Diourbel;Bambey;Ngoye;CR THIAKHAR;14732;18189;22786.8303;;;;;;;;;
-16.34878856;14.75707477;354821;1631893;2134;2134006;Diorel;201;SEN;Senegal;2;Diourbel;5;Bambey;13;Ngoye;58;Thiakhar;;312030;3120304;Commune;Commune;Diourbel/Bambey/Ngoye/Thiakhar;Diourbel;Bambey;Ngoye;CR THIAKHAR;14732;18189;22786.8303;;;;;;;;;
-16.08056316;14.75286166;383693;1631271;2321;2321037;Thieye Peulh;201;SEN;Senegal;2;Diourbel;7;Mbacke;17;Ndame;78;Dalla Ngabou;;332020;3320201;Commune;Commune;Diourbel/Mbacke/Ndame/Dalla Ngabou;Diourbel;Mbacke;Ndame;CR DALLA NGABOU;6758;6809;;;;;;;;;;
-16.78168864;14.74731951;308205;1631138;7233;7233009;Keur Banda Niang;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;389;Thienaba;;722020;7220203;Commune;Commune;Thies/Thies/Thienaba/Thienaba;Thies;Thies;Thieneba;CR THIENEBA;9941;13022;18482;;;;;;;;;
-16.88432457;14.74617147;297152;1631101;10212;10212011;Keur Daouda Cisse;201;SEN;Senegal;13;Thies;41;Thies;106;Keur Moussa;383;Fandene;;722030;7220302;Commune;Commune;Thies/Thies/Keur Moussa/Fandene;Thies;Thies;Keur Moussa;CR FANDENE;8872;11;;;;;;;;;;
