ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
0204;233;0;15:00;STILL;aller à l'école;School
0204;-14.43042985438624;16.48596769672363;19:00;REST;repos;cour
0204;-14.430381574624663;16.485972840606323;21:00;REST;Dormir;chambre
0205;-14.430464723102935;16.486068002411425;09:00;WANDER;tache ménagére;cour
0205;-14.432617839408312;16.485932471353678;10:00;WANDER;aller au marché;marché
0205;-14.430550553790187;16.485975412547614;11:00;REST;repos;cour
0205;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
0205;-14.430550553790187;16.485975412547614;15:00;STILL;palabrer;cour
0205;-14.43042985438624;16.48596769672363;17:00;WANDER;faire le thé;cour
0205;-14.43042985438624;16.48596769672363;20:00;STILL;regarder la télé;cour 
0205;-14.43042985438624;16.48596769672363;21:00;FEED;Diner;cour
0205;-14.430381574624663;16.485972840606323;22:00;REST;Dormir;chambre
0301;-14.430052049345855;16.486016565960735;05:00;STILL;Priére;cour  
0301;-14.430052049345855;16.486016565960735;06:00;FEED;petit dejeuner;cour  
0301;-14.422830541310969;16.48616299801112;07:00;WANDER;amener le bétail;village
0301;-14.430118630164962;16.48605546174612;16:00;FEED;dejeuner;cour
0301;-14.422830541310969;16.48616299801112;17:00;WANDER;amener le bétail;village
0301;-14.430052049345855;16.486016565960735;20:00;REST;Dormir;cour
0301;-14.430052049345855;16.486016565960735;21:00;FEED;diner;cour
0301;-14.430283895374306;16.485949923680142;21:30;REST;Dormir;chambre
0302;-14.430052049345855;16.486016565960735;05:00;STILL;priére;cour
0302;-14.430172675329933;16.48576838613906;05:30;REST;Dormir;chambre (291)
0302;-14.430052049345855;16.486016565960735;07:00;FEED;petit déjeuner;cour
0302;-14.430148222443693;16.485972840606323;08:00;REST;repos;cour
0302;-14.430148222443693;16.485972840606323;14:00;FEED;déjeuner;cour
0302;-14.430148222443693;16.485972840606323;15:00;STILL;palabrer;cour
0302;-14.430148222443693;16.485972840606323;17:00;STILL;palaber;cour
0302;-14.43042985438624;16.48596769672363;19:00;STILL;regarder la télé;cour 
0302;-14.430148222443693;16.485972840606323;21:00;FEED;diner;cour
0302;-14.43017103303137;16.485763996255223;22:00;REST;Dormir;chambre
0303;-14.430148222443693;16.485972840606323;07:00;WANDER;priere+ tache ménagére;cour
0303;-14.430148222443693;16.485972840606323;09:00;FEED;petit dejeuner;cour
0303;-14.430109933154705;16.486052682283116;10:00;WANDER;preparer le déjeuner;cuisine
0303;-14.430148222443693;16.485972840606323;14:00;FEED;déjeuner;cour
0303;-14.430148222443693;16.485972840606323;15:00;STILL;palabrer;cour
0303;-14.430109933154705;16.486052682283116;17:00;FEED;préparer le diner;cuisine
0303;-14.430148222443693;16.485972840606323;21:00;STILL;regarder la télé;cour 
