ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
H2003;-14.42976649;16.48709289;14:00;FEED;d‚jeuner;cour
H2003;-14.4298644;16.48723949;15:00;STILL;regarder la t‚l‚;salle
H2003;-14.42976649;16.48709289;17:00;WANDER;tache m‚nag‚re;cour
H2003;-14.42981746;16.48715976;19:00;STILL;reviser;veranda
H2003;-14.42988585;16.48717519;22:00;REST;dormir;chambre
H2004;-14.42978795;16.48708389;07:00;STILL;priŠre;cour
H2004;-14.42978795;16.48708389;07:15;FEED;Petit d‚jeuner;cour
H2004;-14.42978795;16.48708389;08:00;WANDER;Tache m‚nagŠre;cour
H2004;-14.4298644;16.48723949;10:00;STILL;regarder la t‚l‚;salle
H2004;-14.42804013;16.48730343;10:30;WANDER;acheter du bois s‚che;village
H2004;-14.42978795;16.48708389;11:00;REST;repos;cour
H2004;-14.42978795;16.48708389;14:00;WANDER;faire Th‚;cour
H2004;-14.4298644;16.48723949;15:00;STILL;regarder la t‚l‚;salle
H2004;-14.42978795;16.48708389;18:00;WANDER;pr‚parer le diner;cour
H2004;-14.42978795;16.48708389;21:00;REST;repos;cour
H2004;-14.42983355;16.48718805;22:00;REST;Dormir;a l'‚tage
H2005;-14.42975308;16.48708003;08:00;STILL;pri‚re;cour
H2005;-14.42975308;16.48708003;08:15;FEED;dejeuner;cour
H2005;-14.4298644;16.48723949;09:00;STILL;salle t‚l‚;salle
H2005;-14.42975308;16.48708003;10:00;STILL;Apprendre le coran;cour
H2005;-14.42975308;16.48708003;12:00;WANDER;aller jouer;cour
H2005;-14.42975308;16.48708003;14:00;FEED;d‚jeuner;cour
H2005;-14.42975308;16.48708003;15:00;WANDER;Apprendre le coran;cour
H2005;-14.42961191;16.48789497;17:00;WANDER;jouer;village
H2005;-14.42975308;16.48708003;19:00;REST;repos;cour
H2005;-14.42983355;16.48718805;22:00;REST;Dormir;a l'‚tage
H2105;-14.42958106;16.48733815;00:00;REST;dormir;chambre
H2105;-14.42942147;16.48716455;07:00;WANDER;pri‚re+ tache m‚nag‚re;cour
H2105;233;0;07:30;STILL;aller … l'‚cole fran‡aise;School
H2105;-14.42942147;16.48716455;14:00;FEED;D‚jeuner;cour
H2105;-14.42942147;16.48716455;15:00;REST;repos;cour
H2105;-14.42940806;16.48741145;17:00;WANDER;pr‚parer le diner;cuisine
