DATE EVENT;X;Y;EVENT;VALUES_1;VALUES_2;COMMENTS;
06/11/2019;-14,43595;16,481639;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,435542;16,481659;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,43353;16,480482;Mus musculus;M;;2020.11.10 M.Sall ;
07/11/2019;-14,4324;16,483007;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,432362;16,48312;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,432908;16,483057;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,435542;16,481659;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,433477;16,481472;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,433482;16,481188;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,43389;16,480568;Mus musculus;M;;2020.11.10 M.Sall ;
07/11/2019;-14,435542;16,481659;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
07/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
07/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
07/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,43586;16,4828889;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,432362;16,48312;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,43347;16,482444;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,433574;16,48045;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,432731;16,480827;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,43383;16,480531;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,43389;16,480568;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,435542;16,481659;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,43586;16,4828889;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,4358601;16,482889;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,43586;16,4828889;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
08/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,43586;16,4828889;Mus musculus;F;;2020.11.10 M.Sall ;
08/11/2019;-14,43586;16,4828889;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2019;-14,43586;16,4828889;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2019;-14,4358599;16,4828888;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2019;-14,4358599;16,4828888;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2019;-14,43586;16,4828889;Mus musculus;F;;2020.11.10 M.Sall ;
31/12/2100;;;;;;Prolonger la fin du chrono;
