DATE EVENT;X;Y;EVENT;NUMBER;SEX;STOCK;PIECE NATURE
08/11/2018;-14.431882;16.488469;Tick;0;M;0;
08/11/2018;-14.431685;16.487834;Tick;0;M;0;
08/11/2018;-14.431668;16.487819;Tick;0;M;++;
08/11/2018;-14.431648;16.489372;Tick;0;M;0;
08/11/2018;-14.431646;16.487799;Tick;0;M;0;
08/11/2018;-14.431642;16.48784;Tick;0;M;0;
08/11/2018;-14.431353;16.489922;Tick;0;M;0;
08/11/2018;-14.430965;16.492632;Tick;0;M;0;
08/11/2018;-14.429194;16.485237;Tick;0;M;+;
06/11/2019;-14,432559;16,483106;Mus musculus;1;F;0;C/C/Z
06/11/2019;-14,43239;16,483006;Mus musculus;1;M;+;C/C/C
06/11/2019;-14,43240;16,483007;Mus musculus;1;F;+;C/C/C
06/11/2019;-14,432362;16,48312;Mus musculus;1;F;+;C/C/Z
06/11/2019;-14,432579;16,482043;Mus musculus;1;M;+;C+S/C/Z
06/11/2019;-14,432309;16,48223;Mus musculus;1;M;0;B/B/Z
06/11/2019;-14,433194;16,482145;Mus musculus;1;M;+;S/B/B
06/11/2019;-14,43347;16,481472;Mus musculus;1;F;+;C/C/Z
06/11/2019;-14,433574;16,48045;Mus musculus;1;M;+;C/C/Z
06/11/2019;-14,43353;16,480482;Mus musculus;1;F;0;C/C/Z
06/11/2019;-14,432731;16,480827;Mus musculus;1;F;+;C/B/Z
06/11/2019;-14,432731;16,480827;Mus musculus;1;F;+;C/C/C
06/11/2019;-14,43383;16,480531;Mus musculus;1;M;++;C/C/C
06/11/2019;-14,43384;16,480532;Mus musculus;1;F;++;C/C/C
06/11/2019;-14,43389;16,480568;Mus musculus;1;M;+;C/C/C
06/11/2019;-14,43415;16,480931;Mus musculus;1;F;0;C/C/C
06/11/2019;-14,43595;16,481639;Mus musculus;1;F;0;C/C/C
06/11/2019;-14,435542;16,481659;Mus musculus;1;F;++;C/C/C
06/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;+;C/C/C
06/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;+;B/B/P
06/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;0;C/C/C
06/11/2019;-14,43353;16,480482;Mus musculus;1;M;0;C/C/Z
07/11/2019;-14,43240;16,483007;Mus musculus;1;F;+;C/C/C
07/11/2019;-14,432362;16,48312;Mus musculus;1;F;+;C/C/Z
07/11/2019;-14,432908;16,483057;Mus musculus;1;F;0;B/B/Z
07/11/2019;-14,435542;16,481659;Mus musculus;1;F;++;C/C/C
07/11/2019;-14,433477;16,481472;Mus musculus;1;F;+;C/C/Z
07/11/2019;-14,433482;16,481188;Mus musculus;1;F;0;C/C/C
07/11/2019;-14,43389;16,480568;Mus musculus;1;M;+;C/C/C
07/11/2019;-14,435542;16,481659;Mus musculus;1;F;++;C/C/C
07/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;0;C/C/C
07/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;0;C/C/C
07/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;0;C/C/Z
07/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;++;C/C/C
07/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;+;C/C/C
07/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;+;C/C/C
07/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;0;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;0;B/B/Z
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;0;B/B/Z
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;+;B/B/Z
08/11/2019;-14,4358600;16,4828889;Mus musculus;1;F;+;B/B/Z
08/11/2019;-14,432362;16,48312;Mus musculus;1;F;+;C/C/Z
08/11/2019;-14,43347;16,482444;Mus musculus;1;F;0;C/C/C
08/11/2019;-14,433574;16,48045;Mus musculus;1;F;+;C/C/Z
08/11/2019;-14,432731;16,480827;Mus musculus;1;M;+;C/C/C
08/11/2019;-14,43383;16,480531;Mus musculus;1;M;++;C/C/C
