ID;X;Y;TIME;DESIRE;COMMENTS;
4606;-14.430774178597147;16.48832546518141;19:00;REST;Repos : Cour;
4606;-14.430936329185666;16.488335646727954;21:00;REST;"Dormir : TC: cour; TF: chambre";
4607;-14.43080234178844;16.4883254651501;05:00;WANDER;Prière : Cour;
4607;-14.430531438676894;16.48720153716334;06:00;WANDER;Acheter du pain : Boulangerie;
4607;-14.43116444000177;16.48633736843889;09:00;WANDER;Aller travailler : Village;
4607;-14.430774178597147;16.48832546518141;19:00;REST;Repos : Cour ;
4607;-14.430906857527928;16.48840893536384;23:00;REST;"Dormir : TC: cour; TF: chambre";
5301;-14.432759556409234;16.48855869700495;07:00;WANDER;Prière + Petit déjeuner : Veranda (139);
5301;-14.432759556409234;16.48855869700495;08:00;WANDER;Vente de légume : Veranda;
5301;-14.432865068493568;16.488597830021604;14:00;WANDER;Manger : cour;
5301;-14.432865068493568;16.488597830021604;15:00;REST;Dormir : Cour;
5301;-14.432759556409234;16.48855869700495;17:00;WANDER;Vente de légume : Veranda;
5301;-14.432759556409234;16.48855869700495;21:00;FORAGE;Manger : Veranda;
5301;-14.432728968882103;16.488558759094992;22:00;REST;"Dormir : TC: cour; TF: chambre";
5302;-14.432759556409234;16.48855869700495;07:00;WANDER;Prière + Petit déjeuner : Veranda;
5302;-14.432759556409234;16.48855869700495;10:00;WANDER;Palabrer : Veranda;
5302;-14.432759556409234;16.48855869700495;12:00;WANDER;Visite aux Parents : Village;
5302;-14.432865068493568;16.488597830021604;19:00;REST;Repos : Cour;
5302;-14.432728968882103;16.488558759094992;22:00;REST;"Dormir : TC: cour; TF: chambre";
5303;-14.432759556409234;16.48855869700495;06:00;WANDER;Prière + Petit déjeuner : Veranda;
5303;-14.432759556409234;16.48855869700495;08:00;WANDER;Petit déjeuner : Veranda;
5303;-14.433210563277513;16.486865230049663;08:00;WANDER;Dimanche aller au marché : Marché;
5303;-14.432846862986151;16.488712590872623;09:30;WANDER;Aller sur le magasin : Magasin (142);
5303;-14.432792533996802;16.488670164044528;11:00;WANDER;Préparer le déjeuner : Cuisine (143);
5303;-14.432865068493568;16.488597830021604;14:00;FORAGE;Manger : cour;
5303;-14.432865068493568;16.488597830021604;15:00;REST;Dormir : Cour;
5303;-14.432728968882103;16.488558759094992;16:00;WANDER;Regarder la télé : Chambre (141);
5303;-14.432728968882103;16.488558759094992;18:00;WANDER;Dimanche regarder la télé : Chambre;
5303;-14.432865068493568;16.488597830021604;20:00;REST;Palabrer : Cour;
5303;-14.432759556409234;16.48855869700495;21:00;FORAGE;Manger : Veranda;
5303;-14.432728968882103;16.488558759094992;22:00;WANDER;Dimanche regarder la télé : Chambre;
5303;-14.432757361255431;16.488624396667824;23:00;REST;"Dormir : TC: cour; TF: chambre";
5304;-14.432759556409234;16.48855869700495;09:00;WANDER;Fête prière + petiit déjeuner : Veranda;
5304;-14.432759556409234;16.48855869700495;10:00;REST;Fête palabrer : Veranda;
5304;-14.432865068493568;16.488597830021604;14:00;FORAGE;Manger : cour;
5304;-14.432759556409234;16.48855869700495;15:00;REST;Fête palabrer : Veranda;
5304;-14.432759556409234;16.48855869700495;21:00;FORAGE;Manger : Veranda;
5304;-14.432757361255431;16.488624396667824;23:00;REST;"Dormir : TC: cour; TF: chambre";
5305;-14.432759556409234;16.48855869700495;09:00;WANDER;Fête prière + petiit déjeuner : Veranda;
5305;-14.432759556409234;16.48855869700495;10:00;WANDER;Fête Visite village : Veranda;
5305;-14.432865068493568;16.488597830021604;14:00;FORAGE;Manger : cour;
5305;-14.432759556409234;16.48855869700495;15:00;REST;Fête palabrer : Veranda;
5305;-14.432759556409234;16.48855869700495;21:00;FORAGE;Manger : Veranda;
5305;-14.432759556409234;16.48855869700495;22:00;REST;Fête palabrer : Veranda;
5305;-14.432954569262247;16.48874459418101;23:00;REST;"Dormir : TC: cour; TF: chambre";
7101;-14.4284;16.4866;06:00;WANDER;Prière : maison 374;06h30
7101;-14.4331;16.4868;06:30;WANDER;Aller travailler : Boutique;13h00
7101;-14.4284;16.4866;13:00;REST;Repos : maison 374;14h30
7101;-14.4331;16.4868;14:30;WANDER;Aller travailler : Boutique;22h30
7101;-14.4284;16.4866;22:30;REST;Repos : maison 374;23h00
7101;-14.4284;16.4866;23:00;REST;"Dormir : TC: cour; TF: chambre";06h00
