DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;
02/01/1909;64;212;river;;;74265;;18/07/2014;JLF;
02/01/1909;64;221;river;;;77415;;18/07/2014;JLF;
02/01/1909;64;222;river;;;77765;;18/07/2014;JLF;
02/01/1909;64;117;river;;;41015;;18/07/2014;JLF;
02/01/1909;64;208;river;;;72865;;18/07/2014;JLF;
02/01/1909;64;213;river;;;74615;;18/07/2014;JLF;
02/01/1909;65;110;river;;;38566;;18/07/2014;JLF;
02/01/1909;65;120;river;;;42066;;18/07/2014;JLF;
02/01/1909;65;121;river;;;42416;;18/07/2014;JLF;
02/01/1909;65;122;river;;;42766;;18/07/2014;JLF;
02/01/1909;65;222;river;;;77766;;18/07/2014;JLF;
02/01/1909;65;223;river;;;78116;;18/07/2014;JLF;
02/01/1909;65;224;river;;;78466;;18/07/2014;JLF;
02/01/1909;65;225;river;;;78816;;18/07/2014;JLF;
02/01/1909;65;226;river;;;79166;;18/07/2014;JLF;
02/01/1909;65;227;river;;;79516;;18/07/2014;JLF;
02/01/1909;65;113;river;;;39616;;18/07/2014;JLF;
02/01/1909;65;115;river;;;40316;;18/07/2014;JLF;
02/01/1909;65;119;river;;;41716;;18/07/2014;JLF;
02/01/1909;65;221;river;;;77416;;18/07/2014;JLF;
02/01/1909;66;110;river;;;38567;;18/07/2014;JLF;
02/01/1909;66;111;river;;;38917;;18/07/2014;JLF;
02/01/1909;66;122;river;;;42767;;18/07/2014;JLF;
02/01/1909;66;123;river;;;43117;;18/07/2014;JLF;
02/01/1909;66;224;river;;;78467;;18/07/2014;JLF;
02/01/1909;66;225;river;;;78817;;18/07/2014;JLF;
02/01/1909;66;227;river;;;79517;;18/07/2014;JLF;
02/01/1909;66;228;river;;;79867;;18/07/2014;JLF;
02/01/1909;66;116;river;;;40667;;18/07/2014;JLF;
02/01/1909;66;117;river;;;41017;;18/07/2014;JLF;
02/01/1909;66;118;river;;;41367;;18/07/2014;JLF;
02/01/1909;66;119;river;;;41717;;18/07/2014;JLF;
02/01/1909;66;211;river;;;73917;;18/07/2014;JLF;
02/01/1909;66;223;river;;;78117;;18/07/2014;JLF;
02/01/1909;67;110;river;;;38568;;18/07/2014;JLF;
02/01/1909;67;111;river;;;38918;;18/07/2014;JLF;
02/01/1909;67;121;river;;;42418;;18/07/2014;JLF;
02/01/1909;67;122;river;;;42768;;18/07/2014;JLF;
02/01/1909;67;123;river;;;43118;;18/07/2014;JLF;
02/01/1909;67;124;river;;;43468;;18/07/2014;JLF;
02/01/1909;67;210;river;;;73568;;18/07/2014;JLF;
02/01/1909;67;211;river;;;73918;;18/07/2014;JLF;
02/01/1909;67;212;river;;;74268;;18/07/2014;JLF;
02/01/1909;67;226;river;;;79168;;18/07/2014;JLF;
02/01/1909;67;227;river;;;79518;;18/07/2014;JLF;
02/01/1909;67;228;river;;;79868;;18/07/2014;JLF;
02/01/1909;67;230;river;;;80568;;18/07/2014;JLF;
02/01/1909;67;231;river;;;80918;;18/07/2014;JLF;
