ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS;Fin;Vérification
0111;-14.431057550389154;16.485813861639162;15:00;WANDER;tâche ménagére; cour  ;15:30;VRAI
0111;-14.431044251700591;16.485733022092766;15:30;REST;Dormir; cour;17:00;VRAI
0111;-14.431037564447534;16.485647282014458;17:00;WANDER;remplir les canaris; cour;18:00;VRAI
0111;-14.431044251700591;16.485733022092766;18:00;REST;repos; cour (302);21:00;VRAI
0111;-14.431199589261642;16.48570823922137;21:00;REST;Dormir ; chambre;06:00;VRAI
0117;-14.431005373044476;16.485786065548993;05:00;STILL;Priére; cour;06:00;VRAI
0117;-14.431005373044476;16.485786065548993;06:00;REST;Dormir ; cour;09:00;VRAI
0117;-14.432537012494818;16.486079958910953;09:00;WANDER;aller au marché ; marché;17:00;VRAI
0117;-14.431044251700591;16.485733022092766;17:00;STILL;palaber; cour;22:00;VRAI
0117;-14.430921309395904;16.48576660786041;22:00;REST;Dormir ; chambre;05:00;VRAI
0201;-14.43042985438624;16.48596769672363;05:00;STILL;priére; cour;05:30;VRAI
0201;-14.430419125550335;16.48600370389959;05:30;REST;Dormir ; veranda;10:00;VRAI
0201;-14.430550553790187;16.485975412547614;10:00;REST;Repos ; cour;14:00;VRAI
0201;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner ; Cour;15:00;VRAI
0201;-14.430550553790187;16.485975412547614;15:00;STILL;palabrer; cour;17:00;VRAI
0201;-14.430550553790187;16.485975412547614;17:00;STILL;palabrer; cour;22:00;VRAI
0201;-14.430376210206708;16.486024279425695;22:00;REST;Dormir ; chambre (300);05:00;VRAI
0202;-14.430389621251589;16.486021707485047;00:00;REST;Dormir ; chambre (301);11:00;VRAI
0202;-14.430550553790187;16.485975412547614;11:00;FEED;petit dejeuner; cour;11:30;VRAI
0202;-14.432520041617655;16.486061368693242;11:30;WANDER;aller au marché ; marché;14:00;VRAI
0202;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner ; Cour;15:00;VRAI
0202;-14.430550553790187;16.485975412547614;15:00;REST;Dormir ; cour;17:00;VRAI
0202;-14.43042985438624;16.48596769672363;17:00;WANDER;palaber; cour;22:00;VRAI
0203;-14.430464723102935;16.486068002411425;09:00;WANDER;tache ménagére; cour;10:00;VRAI
0203;-14.432617839408312;16.485932471353678;10:00;WANDER;aller au marché ; marché;11:00;VRAI
0203;-14.430550553790187;16.485975412547614;11:00;REST;repos; cour;14:00;VRAI
0203;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner ; Cour;15:00;VRAI
0203;-14.430550553790187;16.485975412547614;15:00;STILL;palabrer; cour;17:00;VRAI
0203;-14.43042985438624;16.48596769672363;17:00;WANDER;faire le thé; cour;20:00;VRAI
0203;-14.43042985438624;16.48596769672363;20:00;STILL;regarder la télé; cour ;21:00;VRAI
0203;-14.43042985438624;16.48596769672363;21:00;FEED;Diner ; cour;22:00;VRAI
0203;-14.430381574624663;16.485972840606323;22:00;REST;Dormir ; chambre;09:00;VRAI
0204;-14.43042985438624;16.48596769672363;07:00;FEED;Petit dejeuner; cour;07:40;VRAI
0204;-14.429843468003302;16.48421965770301;07:40;WANDER;aller à l'école; école élémentaire;14:00;VRAI
0204;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner ; Cour;15:00;VRAI
0204;-14.429843468003302;16.48421965770301;15:00;WANDER;aller à l'école; école élémentaire;19:00;VRAI
0204;-14.43042985438624;16.48596769672363;19:00;REST;repos; cour;21:00;VRAI
0204;-14.430381574624663;16.485972840606323;21:00;REST;Dormir ; chambre;07:00;VRAI
0205;-14.430464723102935;16.486068002411425;09:00;WANDER;tache ménagére; cour;10:00;VRAI
0205;-14.432617839408312;16.485932471353678;10:00;WANDER;aller au marché ; marché;11:00;VRAI
0205;-14.430550553790187;16.485975412547614;11:00;REST;repos; cour;14:00;VRAI
0205;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner ; Cour;15:00;VRAI
0205;-14.430550553790187;16.485975412547614;15:00;STILL;palabrer; cour;17:00;VRAI
0205;-14.43042985438624;16.48596769672363;17:00;WANDER;faire le thé; cour;20:00;VRAI
0205;-14.43042985438624;16.48596769672363;20:00;STILL;regarder la télé; cour ;21:00;VRAI
0205;-14.43042985438624;16.48596769672363;21:00;FEED;Diner ; cour;22:00;VRAI
0205;-14.430381574624663;16.485972840606323;22:00;REST;Dormir ; chambre;09:00;VRAI
0301;-14.430052049345855;16.486016565960735;05:00;STILL;Priére ; cour  ;06:00;VRAI
0301;-14.430052049345855;16.486016565960735;06:00;FEED;petit dejeuner; cour  ;07:00;VRAI
0301;-14.422830541310969;16.48616299801112;07:00;WANDER;amener le bétail; village;16:00;VRAI
0301;-14.430118630164962;16.48605546174612;16:00;FEED;dejeuner; cour;17:00;VRAI
0301;-14.422830541310969;16.48616299801112;17:00;WANDER;amener le bétail; village;20:00;VRAI
0301;-14.430052049345855;16.486016565960735;20:00;REST;Dormir ; cour;21:00;VRAI
0301;-14.430052049345855;16.486016565960735;21:00;FEED;diner ; cour;21:30;VRAI
0301;-14.430283895374306;16.485949923680142;21:30;REST;Dormir ; chambre;05:00;VRAI
0302;-14.430052049345855;16.486016565960735;05:00;STILL;priére; cour;05:30;VRAI
0302;-14.430172675329933;16.48576838613906;05:30;REST;Dormir ; chambre (291);07:00;VRAI
0302;-14.430052049345855;16.486016565960735;07:00;FEED;petit déjeuner; cour;08:00;VRAI
0302;-14.430148222443693;16.485972840606323;08:00;REST;repos; cour;14:00;VRAI
0302;-14.430148222443693;16.485972840606323;14:00;FEED;déjeuner ; cour;15:00;VRAI
0302;-14.430148222443693;16.485972840606323;15:00;STILL;palabrer; cour;17:00;VRAI
0302;-14.430148222443693;16.485972840606323;17:00;STILL;palaber; cour;19:00;VRAI
