DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;COMMENT;date ajout;resp. ajout;;
01/01/1909;28;16;city;Farafenni;;"date mise en place bac à préciser;  date d'origine:01/01/1960(PAM0:3/06/2015)";10/12/2014;JLF&JMD;;
01/01/1909;28;25;city;Kaffrine;;date d'origine:10/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;29;43;city;Dahra;;date d'origine:05/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;31;60;city;Dagana;;date d'origine:04/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;34;44;city;Linguere;;date d'origine:17/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;37;8;city;Kolda;;date d'origine:16/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;37;61;city;Podor;;date d'origine:22/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;39;16;city;Janjanbureh;;date d'origine:09/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;47;8;city;Diaobe;;date d'origine:01/01/1990(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;49;11;city;Velingara;;date d'origine:30/01/1909(PAM0:3/06/2015);11/12/2014;J. Le Fur;;
01/01/1909;54;11;city;Medina-Gounass;;date d'origine:05/01/1970(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;55;20;city;Tambacounda;;date d'origine:27/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;61;47;city;Matam;;date d'origine:19/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;72;37;city;Bakel;;date d'origine:02/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;76;3;city;Kedougou;;date d'origine:14/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;76;30;city;Kidira;;date d'origine:15/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;87;30;city;Kayes/Bko;;date d'origine:12/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;15;26;track;Foundiougne;;ajout d'une route à Foundiougne;12/10/2015;JLF;;
02/01/1909;16;28;population;Fatick;0;source : atlas jeune afrique sénégal 2000;07/07/2015;PAM;;
02/01/1909;23;36;population;Touba-Mbacke;0;taille de pop = 1 car cette ville ne devrrait pas exister à cette date;03/06/2015;PAM;;
02/01/1909;47;8;population;Diaobe;0;taille de pop = 1 car cette ville ne devrrait pas exister à cette date;03/06/2015;PAM;;
02/01/1909;54;11;population;Medina-Gounass;0;taille de pop = 1 car cette ville ne devrrait pas exister à cette date;03/06/2015;PAM;;
02/12/1909;11;3;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;11;23;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;11;24;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;12;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;12;24;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;13;5;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;13;14;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;13;15;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;13;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;13;24;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;14;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;14;14;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;14;15;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;14;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;14;25;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;14;52;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;14;53;river;Senegal;;;11/12/2014;JLF;;
02/12/1909;15;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;15;14;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;15;26;river;Saloum;;;10/12/2014;JLF&JMD;;
