DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;
07/01/1910;53;21;road;;;1923;;;JLF;
07/01/1910;54;21;road;;;1924;;;JLF;
07/01/1910;55;21;road;;;1925;;;JLF;
07/01/1910;48;22;road;;;2007;;;JLF;
07/01/1910;49;22;road;;;2008;;;JLF;
07/01/1910;50;22;road;;;2009;;;JLF;
07/01/1910;51;22;road;;;2010;;;JLF;
07/01/1910;52;22;road;;;2011;;;JLF;
07/01/1910;45;23;road;;;2093;;;JLF;
07/01/1910;46;23;road;;;2094;;;JLF;
07/01/1910;47;23;road;;;2095;;;JLF;
07/01/1910;48;23;road;;;2096;;;JLF;
07/01/1910;41;24;road;;;2178;;;JLF;
07/01/1910;42;24;road;;;2179;;;JLF;
07/01/1910;43;24;road;;;2180;;;JLF;
07/01/1910;44;24;road;;;2181;;;JLF;
07/01/1910;45;24;road;;;2182;;;JLF;
07/01/1910;46;24;road;;;2183;;;JLF;
07/01/1910;17;29;road;;;;;;PAM;
07/01/1910;17;30;road;;;2688;;;JLF;
07/01/1910;17;31;road;;;2777;;;JLF;
07/01/1910;18;31;road;;;2778;;;JLF;
07/01/1910;18;32;road;;;2867;;;JLF;
07/01/1910;66;39;road;;;3538;;;JLF;
07/01/1910;67;39;road;;;3539;JLF;;;
07/01/1910;65;40;road;;;3626;;;JLF;
07/01/1910;66;40;road;;;3627;;;JLF;
07/01/1910;67;40;road;;;3628;JLF;;;
07/01/1910;65;41;road;;;3715;;;JLF;
07/01/1910;66;41;road;;;3716;JLF;;;
07/01/1910;65;42;road;;;3804;;;JLF;
07/01/1910;66;42;road;;;3805;JLF;;;
07/01/1910;63;43;road;;;3891;;;JLF;
07/01/1910;64;43;road;;;3892;;;JLF;
07/01/1910;65;43;road;;;3893;;;JLF;
07/01/1910;66;43;road;;;3894;JLF;;;
07/01/1910;62;44;road;;;3979;;;JLF;
07/01/1910;63;44;road;;;3980;;;JLF;
07/01/1910;64;44;road;;;3981;;;JLF;
07/01/1910;65;44;road;;;3982;;;JLF;
07/01/1910;62;45;road;;;4068;;;JLF;
07/01/1910;63;45;road;;;4069;;;JLF;
07/01/1910;64;45;road;;;4070;;;JLF;
07/01/1910;65;45;road;;;4071;;;JLF;
07/01/1910;60;46;road;;;4155;;;JLF;
07/01/1910;61;46;road;;;4156;;;JLF;
07/01/1910;62;46;road;;;4157;;;JLF;
07/01/1910;63;46;road;;;4158;;;JLF;
07/01/1910;60;47;road;;;4244;;;JLF;
07/01/1910;61;47;road;;;4245;;;JLF;
07/01/1910;62;47;road;;;4246;;;JLF;
07/01/1910;63;47;road;;;4247;;;JLF;
07/01/1910;59;48;road;;;4332;;;JLF;
07/01/1910;60;48;road;;;4333;;;JLF;
07/01/1910;61;48;road;;;4334;;;JLF;
07/01/1910;58;49;road;;;4420;;;JLF;
07/01/1910;59;49;road;;;4421;;;JLF;
07/01/1910;60;49;road;;;4422;;;JLF;
07/01/1910;61;49;road;;;4423;;;JLF;
07/01/1910;58;50;road;;;4509;;;JLF;
07/01/1910;59;50;road;;;4510;;;JLF;
07/01/1910;60;50;road;;;4511;;;JLF;
07/01/1910;57;51;road;;;4597;;;JLF;
07/01/1910;58;51;road;;;4598;;;JLF;
07/01/1910;60;51;road;;;4600;;;JLF;
07/01/1910;56;52;road;;;4685;;;JLF;
07/01/1910;57;52;road;;;4686;;;JLF;
07/01/1910;59;52;road;;;4688;;;JLF;
07/01/1910;60;52;road;;;4689;;;JLF;
07/01/1910;54;53;road;;;4772;;;JLF;
07/01/1910;55;53;road;;;4773;;;JLF;
07/01/1910;56;53;road;;;4774;;;JLF;
07/01/1910;57;53;road;;;4775;;;JLF;
07/01/1910;59;53;road;;;4777;;;JLF;
07/01/1910;51;54;road;;;4858;;;JLF;
07/01/1910;52;54;road;;;4859;;;JLF;
07/01/1910;53;54;road;;;4860;;;JLF;
07/01/1910;54;54;road;;;4861;;;JLF;
07/01/1910;57;54;road;;;4864;;;JLF;
07/01/1910;50;55;road;;;4946;;;JLF;
07/01/1910;51;55;road;;;4947;;;JLF;
07/01/1910;52;55;road;;;4948;;;JLF;
07/01/1910;57;55;road;;;4953;;;JLF;
07/01/1910;48;56;road;;;5033;;;JLF;
07/01/1910;49;56;road;;;5034;;;JLF;
07/01/1910;50;56;road;;;5035;;;JLF;
07/01/1910;47;57;road;;;5121;;;JLF;
07/01/1910;48;57;road;;;5122;;;JLF;
07/01/1910;49;57;road;;;5123;;;JLF;
07/01/1910;46;58;road;;;5209;;;JLF;
07/01/1910;47;58;road;;;5210;;;JLF;
07/01/1910;45;59;road;;;5297;;;JLF;
07/01/1910;46;59;road;;;5298;;;JLF;
07/01/1910;38;60;road;;;5379;;;JLF;
07/01/1910;39;60;road;;;5380;;;JLF;
07/01/1910;40;60;road;;;5381;;;JLF;
07/01/1910;41;60;road;;;5382;;;JLF;
07/01/1910;42;60;road;;;5383;;;JLF;
07/01/1910;43;60;road;;;5384;;;JLF;
07/01/1910;44;60;road;;;5385;;;JLF;
07/01/1910;45;60;road;;;5386;;;JLF;
