DATE;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT
01/01/1910;6;1;bioClimate;0;;96;
01/01/1910;6;2;bioClimate;0;;185;
01/01/1910;6;3;bioClimate;0;;274;
01/01/1910;6;4;bioClimate;0;;363;
01/01/1910;6;5;bioClimate;0;;452;
01/01/1910;6;6;bioClimate;0;;541;
01/01/1910;6;7;bioClimate;0;;630;
01/01/1910;6;8;bioClimate;0;;719;
01/01/1910;6;9;bioClimate;0;;808;
01/01/1910;6;10;bioClimate;0;;897;
01/01/1910;6;11;bioClimate;0;;986;
01/01/1910;6;12;bioClimate;0;;1075;
01/01/1910;6;13;bioClimate;0;;1164;
01/01/1910;6;14;bioClimate;0;;1253;
01/01/1910;6;15;bioClimate;0;;1342;
01/01/1910;6;16;bioClimate;0;;1431;
01/01/1910;6;17;bioClimate;0;;1520;
01/01/1910;6;18;bioClimate;0;;1609;
01/01/1910;6;19;bioClimate;0;;1698;
01/01/1910;6;20;bioClimate;0;;1787;
01/01/1910;6;21;bioClimate;0;;1876;
01/01/1910;6;22;bioClimate;0;;1965;
01/01/1910;6;23;bioClimate;0;;2054;
01/01/1910;6;24;bioClimate;0;;2143;
01/01/1910;6;25;bioClimate;0;;2232;
01/01/1910;6;26;bioClimate;0;;2321;
01/01/1910;6;27;bioClimate;0;;2410;
01/01/1910;6;28;bioClimate;0;;2499;
01/01/1910;6;29;bioClimate;0;;2588;
01/01/1910;6;30;bioClimate;0;;2677;
01/01/1910;6;31;bioClimate;3;;2766;
01/01/1910;6;32;bioClimate;3;;2855;
01/01/1910;6;33;bioClimate;4;;2944;
01/01/1910;6;34;bioClimate;4;;3033;
01/01/1910;6;35;bioClimate;4;;3122;
01/01/1910;6;36;bioClimate;4;;3211;
01/01/1910;6;37;bioClimate;1;;3300;
01/01/1910;6;38;bioClimate;1;;3389;
01/01/1910;6;39;bioClimate;0;;3478;
01/01/1910;6;40;bioClimate;0;;3567;
01/01/1910;6;41;bioClimate;0;;3656;
01/01/1910;6;42;bioClimate;0;;3745;
01/01/1910;6;43;bioClimate;0;;3834;
01/01/1910;6;44;bioClimate;0;;3923;
01/01/1910;6;45;bioClimate;0;;4012;
01/01/1910;6;46;bioClimate;0;;4101;
01/01/1910;6;47;bioClimate;0;;4190;
01/01/1910;6;48;bioClimate;0;;4279;
01/01/1910;6;49;bioClimate;0;;4368;
01/01/1910;6;50;bioClimate;0;;4457;
01/01/1910;6;51;bioClimate;0;;4546;
01/01/1910;6;52;bioClimate;0;;4635;
01/01/1910;6;53;bioClimate;0;;4724;
01/01/1910;6;54;bioClimate;0;;4813;
01/01/1910;6;55;bioClimate;0;;4902;
01/01/1910;6;56;bioClimate;0;;4991;
01/01/1910;6;57;bioClimate;0;;5080;
01/01/1910;6;58;bioClimate;0;;5169;
01/01/1910;6;59;bioClimate;0;;5258;
01/01/1910;6;60;bioClimate;0;;5347;
01/01/1910;6;61;bioClimate;0;;5436;
01/01/1910;6;62;bioClimate;0;;5525;
01/01/1910;7;0;bioClimate;0;;8;
01/01/1910;7;1;bioClimate;0;;97;
