"";"CELL_WIDTH_Ucm";"INIT_POP_SIZE";"NUMBER_OF_BURROW_SYSTEM";"MAX_AGE_Uday";"AGENT_PERCEPTION_RADIUS_UmeterByDay";"AGENT_SPEED_UmeterByDay";"REPRO_START_Umonth";"REPRO_END_Umonth";"MALE_SEXUAL_MATURITY_Uday";"FEMALE_SEXUAL_MATURITY_Uday";"GESTATION_LENGTH_Uday";"MATING_LATENCY_Uday";"LITTER_SIZE";"WEANING_AGE_Uday";"FEMALE_BURROW_SYSTEM_CARRYING_CAPACITY_MULTIPLIER"
"66";823;1700;55;480;24;1;2;10;90;80;28;20;9;23;1
"67";823;800;55;480;24;1;2;10;90;80;28;20;9;23;1
"68";823;800;100;480;24;1;2;10;90;80;28;20;9;23;1
"69";823;800;100;1020;24;1;2;10;90;80;28;20;9;23;1
"70";823;800;100;1020;51;1;2;10;90;80;28;20;9;23;1
"71";823;800;100;1020;51;13;2;10;90;80;28;20;9;23;1
"72";823;800;100;1020;51;13;5;10;90;80;28;20;9;23;1
"73";823;800;100;1020;51;13;5;7;90;80;28;20;9;23;1
"74";823;800;100;1020;51;13;5;7;51;80;28;20;9;23;1
"75";823;800;100;1020;51;13;5;7;51;44;28;20;9;23;1
"76";823;800;100;1020;51;13;5;7;51;44;10;20;9;23;1
"77";823;800;100;1020;51;13;5;7;51;44;10;11;9;23;1
"78";823;800;100;1020;51;13;5;7;51;44;10;11;3;23;1
"79";823;800;100;1020;51;13;5;7;51;44;10;11;3;5;1
"80";823;800;100;1020;51;13;5;7;51;44;10;11;3;5;4
"81";1495;500;40;480;24;17;2;6;25;80;28;14;3;11;1
"82";823;500;40;480;24;17;2;6;25;80;28;14;3;11;1
"83";823;1400;40;480;24;17;2;6;25;80;28;14;3;11;1
"84";823;1400;85;480;24;17;2;6;25;80;28;14;3;11;1
"85";823;1400;85;1020;24;17;2;6;25;80;28;14;3;11;1
"86";823;1400;85;1020;51;17;2;6;25;80;28;14;3;11;1
"87";823;1400;85;1020;51;5;2;6;25;80;28;14;3;11;1
"88";823;1400;85;1020;51;5;5;6;25;80;28;14;3;11;1
